id,word
542,suffering
542,long
542,time
542,sorry
542,sorry
542,love
542,lord
542,jesus
542,lord
542,jesus
541,yes
541,sir
541,would
541,first
541,like
541,say
541,family
541,sorry
541,words
541,sorry
541,hurt
541,caused
541,family
541,may
541,bring
541,peace
541,forgiveness
541,sorry
540,yes
540,made
540,peace
540,god
540,hope
540,make
540,peace
538,anything
538,say
538,warden
537,want
537,tell
537,family
537,thank
537,mom
537,dad
537,sister
537,love
537,sorry
537,family
537,way
537,got
537,justice
537,right
537,jesus
536,would
536,like
536,thank
536,everyone
536,love
536,thank
536,thank
536,bring
536,right
536,lot
536,wrong
536,thank
536,god
536,thank
536,friends
536,never
536,anything
536,feel
536,hope
536,find
536,peace
536,would
536,like
536,thank
536,friends
536,row
536,even
536,though
536,everything
536,good
536,hope
536,change
536,come
535,first
535,want
535,say
535,sorry
535,pain
535,caused
535,people
535,sorry
535,bring
535,everybody
535,back
535,wish
535,could
535,know
535,would
535,understand
535,bring
535,back
535,much
535,would
535,like
535,love
535,daughter
535,pray
535,lord
535,take
535,care
535,bad
535,anyone
535,understand
535,god
535,us
534,family
534,mom
534,love
534,god
534,bless
534,stay
534,strong
534,done
532,better
532,place
532,alright
532,live
532,die
532,make
532,made
532,love
532,gon
532,na
532,heart
532,always
532,heart
532,heart
532,ready
531,yes
531,would
531,like
531,thank
531,loved
531,ones
531,love
531,love
531,always
531,going
531,thank
531,warden
530,god
530,bless
530,heart
530,family
530,love
530,everybody
530,support
530,thank
530,support
530,thank
530,support
530,god
530,state
530,death
530,life
530,state
530,god
530,take
530,god
530,let
530,everyone
530,know
530,keep
530,keep
530,faith
530,god
530,family
530,love
530,warden
529,family
529,want
529,tell
529,forgive
529,still
529,bring
529,dad
529,hope
529,closure
529,never
529,wanted
529,hurt
529,want
529,thank
528,would
528,like
528,thank
528,hope
528,family
528,also
528,victim
528,family
528,never
528,sure
528,make
528,best
528,sorry
528,sorry
528,love
528,ready
528,may
528,go
528,heaven
528,thank
528,warden
527,yes
527,would
527,like
527,thank
527,family
527,friends
527,done
527,thank
527,peace
527,daughter
527,love
527,brothers
527,love
527,ready
527,go
527,home
526,much
526,truth
526,time
526,time
526,move
526,want
526,thank
526,done
526,last
526,would
526,like
526,thank
526,wife
526,family
526,friends
526,support
526,well
526,years
526,time
526,good
526,fight
526,faith
526,going
526,say
526,goodbye
526,say
526,love
526,much
526,thank
526,warden
525,ready
525,go
525,home
524,thank
524,sorry
524,pain
524,caused
524,family
524,friends
524,family
524,know
524,hate
524,happened
524,happened
524,know
524,happened
524,wish
524,peace
524,love
524,hope
524,god
524,like
524,god
524,bless
524,see
524,side
524,love
523,would
523,like
523,apologize
523,family
523,family
523,caused
523,would
523,like
523,apologize
523,family
523,caused
523,would
523,also
523,like
523,thank
523,family
523,support
522,yes
522,sir
522,want
522,say
522,love
522,family
522,friends
522,thank
522,lord
522,mercy
522,love
522,jesus
522,name
522,pray
522,amen
521,spirit
521,love
520,really
520,love
520,care
520,appreciate
520,tell
520,appreciate
520,tell
520,family
520,love
520,love
519,love
519,see
518,victim
518,family
518,want
518,know
518,hope
518,let
518,go
518,hate
518,come
518,peace
518,hope
518,else
518,loved
518,ones
518,hope
518,find
518,hearts
518,forgive
518,everyone
518,love
518,everyone
518,pray
518,soul
518,forgive
518,love
518,brother
518,take
518,care
518,family
518,take
518,care
518,mom
518,loved
518,ones
518,brother
518,brother
518,thank
518,give
518,thank
518,everything
518,father
518,soul
518,please
518,take
518,care
518,everybody
518,ready
518,warden
518,father
518,please
518,soul
518,sorry
518,love
518,always
518,going
518,love
518,love
518,love
518,father
518,love
518,father
518,love
517,want
517,tell
517,family
517,love
517,son
517,love
517,row
517,love
517,keep
517,heads
517,tell
517,love
517,god
517,bless
517,alright
517,tell
517,strong
517,love
517,done
517,love
517,love
517,thank
517,john
517,god
517,good
517,love
517,done
516,love
516,hope
516,closure
516,kids
516,sorry
516,dad
516,love
516,love
516,stay
516,strong
515,statement
515,always
515,said
515,even
515,get
515,would
515,said
515,everything
515,said
515,love
515,today
515,never
515,say
515,everything
515,said
515,still
515,much
515,said
515,first
515,love
515,friends
515,brothers
515,row
515,continue
515,keep
515,heads
515,love
515,peace
515,heart
515,ready
515,really
515,last
515,brother
515,life
515,love
515,man
515,best
515,sorry
515,could
515,talk
515,know
515,love
515,remember
515,said
515,together
515,love
515,john
514,yes
514,sir
514,first
514,would
514,like
514,thank
514,god
514,see
514,family
514,say
514,love
514,sorry
514,say
514,family
514,love
514,god
514,love
514,happy
514,would
514,like
514,say
514,family
514,love
514,happy
514,look
514,family
514,see
514,happy
514,sorry
514,done
514,happy
514,end
514,family
514,love
514,people
514,always
514,tell
514,go
514,anything
514,name
514,never
514,people
514,say
514,god
514,god
514,happened
514,say
514,love
514,people
514,please
514,live
514,life
514,live
514,life
514,would
514,like
514,thank
514,thanks
514,warden
514,going
514,say
514,lot
514,love
514,pain
514,love
514,love
514,thank
514,god
514,going
513,make
513,last
513,statement
512,make
512,last
512,statement
511,statement
511,want
511,make
511,statement
511,friends
511,family
511,thank
511,love
511,brothers
511,done
511,time
511,people
511,took
511,time
511,letter
511,thank
511,family
511,one
511,beautiful
511,daughter
511,best
511,thing
511,ever
511,happened
511,love
511,god
511,thank
511,love
511,heart
511,strength
511,jesus
511,name
510,make
510,last
510,statement
509,make
509,last
509,statement
508,would
508,like
508,tell
508,family
508,sorry
508,sorry
508,wish
508,could
508,take
508,back
508,ca
508,hope
508,closure
508,murder
508,loved
508,one
508,mean
508,take
507,best
507,time
507,life
507,would
507,change
507,thing
507,would
507,change
507,suffering
507,know
507,know
507,going
507,pain
507,god
507,want
507,say
507,something
507,bad
507,appreciate
507,people
507,helped
507,appreciate
507,people
507,helped
507,know
507,love
507,family
507,people
507,helped
507,pain
507,love
507,ready
507,go
506,love
506,love
506,love
505,know
505,remember
505,back
505,happy
505,way
505,happened
505,would
505,care
505,happened
505,way
505,would
505,want
505,see
505,would
505,would
505,wish
505,hope
505,bring
505,family
505,hate
504,want
504,thank
504,family
504,friends
504,love
504,ya
504,side
504,thing
504,know
504,ya
504,love
504,mom
504,thank
504,god
504,ya
504,get
504,move
504,take
504,care
504,kids
504,stay
504,strong
504,life
504,go
504,brothers
504,support
504,love
504,fight
504,love
503,find
503,death
503,time
503,state
503,years
502,yes
502,want
502,thank
502,family
502,love
502,ya
502,death
502,friends
502,loved
502,ones
502,love
502,thanks
502,know
502,ya
502,going
502,go
502,know
502,told
502,know
502,want
502,strong
502,keep
502,going
501,yes
501,would
501,like
501,tell
501,wife
501,love
501,thank
501,years
501,warden
500,wanted
500,say
500,thanks
500,years
500,father
500,son
500,thank
500,everybody
500,know
500,going
500,going
500,home
500,jesus
500,keep
500,faith
500,love
500,ya
500,thank
499,want
499,say
499,want
499,hate
499,heart
499,took
499,loved
499,one
499,know
499,mean
499,anything
499,told
499,truth
499,feel
499,like
499,know
499,killed
499,loved
499,one
499,god
499,everything
499,hate
499,live
499,life
499,hate
499,sorry
499,taking
499,loved
499,one
498,gon
498,na
498,stop
498,killing
498,kids
498,gon
498,na
498,stop
498,killing
498,innocent
498,kids
498,kids
498,kill
498,one
498,one
498,ya
498,want
498,kill
498,god
498,everything
498,love
498,everyone
498,got
498,love
498,anyone
498,love
497,first
497,talk
497,brother
497,tell
497,truth
497,happened
497,told
497,tell
497,happened
497,statement
497,world
497,truth
497,good
497,tell
497,said
497,like
497,back
497,god
497,jesus
497,got
497,family
497,love
497,ya
496,life
496,death
496,death
496,life
496,hope
496,come
496,come
496,end
496,life
496,hope
496,anyone
496,life
495,loved
495,ones
495,friends
495,love
495,ya
495,appreciate
495,ya
495,going
495,better
495,place
495,guys
495,back
495,row
495,keep
495,heads
495,keep
495,fight
495,ready
495,let
495,go
494,sorry
494,happened
494,would
494,look
494,kill
494,two
494,people
494,still
494,could
494,killed
494,sorry
494,look
494,see
494,ask
494,good
494,lord
494,forgive
493,mom
493,love
493,ya
493,people
493,know
493,ya
493,come
493,together
493,ya
493,god
493,end
493,day
493,ever
493,think
493,us
493,god
493,one
493,jesus
493,wrong
493,even
493,though
493,way
493,hate
493,ya
493,god
493,people
493,forgive
493,always
493,remember
493,real
493,real
493,ya
493,life
493,right
493,get
493,right
493,die
493,get
493,heaven
493,get
493,life
493,right
493,christ
493,coming
493,end
493,every
493,soul
493,hate
493,think
493,god
492,yes
492,warden
492,mom
492,please
492,know
492,innocent
492,love
492,please
492,continue
492,fight
492,even
492,though
492,john
492,thank
492,life
492,love
492,give
492,everybody
492,love
492,thank
492,thank
492,love
492,warden
491,ever
491,tell
491,dad
491,last
491,sorry
491,tell
491,everyone
491,love
491,good
491,kids
491,love
491,tell
491,mom
491,everybody
491,sorry
491,pain
491,tell
491,love
491,everybody
491,back
491,row
491,know
491,going
491,lot
491,keep
491,give
491,everybody
490,make
490,last
490,statement
489,ya
489,ya
489,back
489,truly
489,sorry
489,never
489,ya
489,much
489,pain
489,one
489,day
489,wish
489,could
489,take
489,back
489,today
489,hope
489,go
489,hope
489,closure
489,god
489,want
489,loved
489,daughter
489,hope
489,god
489,see
489,heaven
489,apologize
489,sorry
489,ya
489,really
489,sorry
488,victim
488,family
